series,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
Rice | Basmati Super New | Faisalabad,52,53,52,49,52,52,52,53,52,52,52,52,53,52,52,52,52,22
Rice | Basmati Super New | Gujranwala,52,53,52,50,52,52,48,53,52,52,52,52,53,51,22,0,0,6
Rice | Basmati Super New | Jhang,16,41,52,51,18,0,0,0,12,0,0,0,0,0,47,52,37,0
Rice | Basmati Super New | Lahore,52,53,52,52,52,52,52,53,52,52,52,52,53,52,52,52,52,22
Rice | Basmati Super New | Layyah,52,53,40,52,34,52,52,53,50,37,0,0,0,0,0,5,3,4
Rice | Basmati Super New | Multan,52,53,52,52,52,52,52,53,52,52,52,52,53,52,52,52,52,22
Rice | Basmati Super New | Okara,45,39,28,38,44,46,52,53,52,52,52,52,53,52,52,52,45,1
Rice | Basmati Super New | RahimYarKhan,50,53,52,52,52,38,41,37,46,21,18,0,0,0,11,46,32,0
Rice | Basmati Super New | Rawalpindi,52,53,52,52,52,52,52,50,40,49,52,35,44,47,22,42,34,20
Rice | Basmati Super New | Sargodha,52,53,52,52,45,33,52,53,47,51,48,40,50,52,52,52,52,21
Rice | Basmati Super New | Sialkot,39,47,46,49,40,27,52,53,52,52,52,51,53,52,52,52,52,22
Rice | Basmati Super Old | BahawalNagar,52,53,52,18,26,0,5,0,46,36,41,8,0,0,0,0,0,0
Rice | Basmati Super Old | BahawalPur,52,50,52,52,43,52,49,53,47,22,10,9,21,51,50,52,52,22
Rice | Basmati Super Old | Chichawatni,35,53,47,49,52,52,52,53,52,52,50,18,0,0,0,0,0,0
Rice | Basmati Super Old | Faisalabad,52,53,52,52,30,4,52,53,52,52,52,52,53,52,52,52,52,22
Rice | Basmati Super Old | Gujranwala,35,15,52,11,36,7,48,53,52,52,52,52,53,51,8,0,0,0
Rice | Basmati Super Old | Jhang,47,15,0,0,0,0,0,0,15,0,0,0,0,0,43,52,39,0
Rice | Basmati Super Old | Lahore,29,53,52,52,52,52,52,53,52,52,52,52,53,52,52,52,52,22
Rice | Basmati Super Old | Layyah,52,53,42,17,45,52,52,53,4,0,0,0,0,0,0,0,3,4
Rice | Basmati Super Old | Multan,52,53,52,52,52,52,52,53,52,52,52,52,53,52,47,15,7,0
Rice | Basmati Super Old | Okara,19,27,52,52,52,52,52,53,52,52,52,52,53,52,52,52,41,0
Rice | Basmati Super Old | RahimYarKhan,34,53,52,52,52,37,35,53,52,43,31,0,0,0,10,7,1,0
Rice | Basmati Super Old | Rawalpindi,27,53,52,9,0,38,52,53,52,52,52,52,53,52,52,52,52,22
Rice | Basmati Super Old | Sargodha,13,0,8,7,36,17,52,53,52,51,48,36,50,3,10,22,26,6
Rice | Basmati Super Old | Sialkot,27,53,46,47,34,24,38,53,52,52,52,52,53,40,27,52,52,11
Rice | IRRI | BahawalNagar,52,46,52,32,26,0,0,0,46,52,42,13,0,0,0,7,0,2
Rice | IRRI | BahawalPur,52,53,52,52,52,52,49,53,52,52,39,13,21,51,52,52,52,22
Rice | IRRI | Chichawatni,51,53,52,52,41,5,52,53,52,52,13,0,0,0,0,0,0,0
Rice | IRRI | Faisalabad,52,53,52,52,52,52,52,53,52,52,52,52,53,52,52,52,52,22
Rice | IRRI | Jhang,52,53,52,50,15,0,0,0,21,0,0,0,0,0,47,42,52,22
Rice | IRRI | Layyah,52,53,52,52,47,52,52,53,9,0,0,0,0,0,0,0,10,22
Rice | IRRI | Multan,52,53,52,52,52,52,52,53,52,52,52,52,53,52,52,52,52,22
Rice | IRRI | Okara,52,53,52,52,52,52,52,53,52,52,52,52,53,52,52,11,0,0
